instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_p,registerd_p,Cluster
1224,2011-02-24,Spring,2011,February,1,No Holiday,Thursday,Working Day,Few Clouds,0.22,0.2576,0.6,0.0896,0,7,7,0.0,100.0,Night Owl
1225,2011-02-24,Spring,2011,February,2,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.2273,0.64,0.0896,0,4,4,0.0,100.0,Night Owl
1226,2011-02-24,Spring,2011,February,3,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.2121,0.64,0.1343,0,2,2,0.0,100.0,Night Owl
1227,2011-02-24,Spring,2011,February,5,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.2121,0.69,0.1343,1,3,4,25.0,75.0,All-Day Rider
1228,2011-02-24,Spring,2011,February,6,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.197,0.69,0.194,0,58,58,0.0,100.0,All-Day Rider
1229,2011-02-24,Spring,2011,February,7,No Holiday,Thursday,Working Day,Few Clouds,0.2,0.197,0.72,0.194,0,104,104,0.0,100.0,Commuter
1230,2011-02-24,Spring,2011,February,8,No Holiday,Thursday,Working Day,Few Clouds,0.24,0.2273,0.7,0.2239,8,244,252,3.1746031746031744,96.82539682539682,Commuter
1231,2011-02-24,Spring,2011,February,9,No Holiday,Thursday,Working Day,Cloudy,0.24,0.2121,0.75,0.2985,4,133,137,2.9197080291970803,97.08029197080292,Commuter
1232,2011-02-24,Spring,2011,February,10,No Holiday,Thursday,Working Day,Cloudy,0.26,0.2424,0.7,0.2836,8,49,57,14.035087719298245,85.96491228070175,All-Day Rider
1233,2011-02-24,Spring,2011,February,11,No Holiday,Thursday,Working Day,Cloudy,0.32,0.2879,0.57,0.3881,8,71,79,10.126582278481013,89.87341772151899,All-Day Rider
1234,2011-02-24,Spring,2011,February,12,No Holiday,Thursday,Working Day,Cloudy,0.36,0.3333,0.53,0.3582,10,85,95,10.526315789473683,89.47368421052632,All-Day Rider
1235,2011-02-24,Spring,2011,February,13,No Holiday,Thursday,Working Day,Cloudy,0.38,0.3939,0.54,0.2985,16,72,88,18.181818181818183,81.81818181818183,All-Day Rider
1236,2011-02-24,Spring,2011,February,14,No Holiday,Thursday,Working Day,Cloudy,0.4,0.4091,0.5,0.2985,2,67,69,2.898550724637681,97.10144927536231,All-Day Rider
1237,2011-02-24,Spring,2011,February,15,No Holiday,Thursday,Working Day,Rain,0.4,0.4091,0.54,0.3881,5,58,63,7.936507936507936,92.06349206349206,All-Day Rider
1238,2011-02-24,Spring,2011,February,16,No Holiday,Thursday,Working Day,Rain,0.38,0.3939,0.62,0.2836,4,67,71,5.633802816901409,94.36619718309859,All-Day Rider
1239,2011-02-24,Spring,2011,February,17,No Holiday,Thursday,Working Day,Rain,0.36,0.3485,0.66,0.194,9,168,177,5.084745762711865,94.91525423728814,Commuter
1240,2011-02-24,Spring,2011,February,18,No Holiday,Thursday,Working Day,Cloudy,0.34,0.303,0.87,0.3284,5,132,137,3.64963503649635,96.35036496350365,Commuter
1241,2011-02-24,Spring,2011,February,19,No Holiday,Thursday,Working Day,Rain,0.34,0.303,0.93,0.2985,3,112,115,2.608695652173913,97.3913043478261,Commuter
1242,2011-02-24,Spring,2011,February,20,No Holiday,Thursday,Working Day,Cloudy,0.34,0.303,0.93,0.3582,2,87,89,2.247191011235955,97.75280898876404,Evening Rider
1243,2011-02-24,Spring,2011,February,21,No Holiday,Thursday,Working Day,Cloudy,0.34,0.303,0.87,0.3284,7,76,83,8.433734939759036,91.56626506024097,Evening Rider
1244,2011-02-24,Spring,2011,February,22,No Holiday,Thursday,Working Day,Rain,0.34,0.3182,0.87,0.2836,5,50,55,9.090909090909092,90.9090909090909,Evening Rider
1245,2011-02-24,Spring,2011,February,23,No Holiday,Thursday,Working Day,Cloudy,0.32,0.303,0.93,0.2239,3,47,50,6.0,94.0,Night Owl
1246,2011-02-25,Spring,2011,February,0,No Holiday,Friday,Working Day,Rain,0.32,0.3485,0.93,0.0,1,8,9,11.11111111111111,88.88888888888889,Night Owl
1247,2011-02-25,Spring,2011,February,1,No Holiday,Friday,Working Day,Cloudy,0.32,0.3485,1.0,0.0,1,9,10,10.0,90.0,Night Owl
1248,2011-02-25,Spring,2011,February,2,No Holiday,Friday,Working Day,Cloudy,0.32,0.3485,1.0,0.0,0,3,3,0.0,100.0,Night Owl
1249,2011-02-25,Spring,2011,February,3,No Holiday,Friday,Working Day,Cloudy,0.32,0.3333,0.93,0.1045,1,1,2,50.0,50.0,Night Owl
1250,2011-02-25,Spring,2011,February,5,No Holiday,Friday,Working Day,Cloudy,0.32,0.3333,0.93,0.1045,1,5,6,16.666666666666664,83.33333333333334,All-Day Rider
1251,2011-02-25,Spring,2011,February,6,No Holiday,Friday,Working Day,Rain,0.34,0.3485,0.93,0.0896,0,11,11,0.0,100.0,All-Day Rider
1252,2011-02-25,Spring,2011,February,7,No Holiday,Friday,Working Day,Rain,0.34,0.3333,1.0,0.1343,1,34,35,2.857142857142857,97.14285714285714,Commuter
1253,2011-02-25,Spring,2011,February,8,No Holiday,Friday,Working Day,Rain,0.36,0.3485,0.93,0.1343,3,70,73,4.10958904109589,95.8904109589041,Commuter
1254,2011-02-25,Spring,2011,February,9,No Holiday,Friday,Working Day,Rain,0.34,0.303,0.93,0.3582,3,111,114,2.631578947368421,97.36842105263158,Commuter
1255,2011-02-25,Spring,2011,February,10,No Holiday,Friday,Working Day,Rain,0.42,0.4242,0.94,0.3284,7,42,49,14.285714285714285,85.71428571428571,All-Day Rider
1256,2011-02-25,Spring,2011,February,11,No Holiday,Friday,Working Day,Few Clouds,0.52,0.5,0.77,0.4478,9,50,59,15.254237288135593,84.7457627118644,All-Day Rider
1257,2011-02-25,Spring,2011,February,12,No Holiday,Friday,Working Day,Rain,0.54,0.5152,0.6,0.4627,20,95,115,17.391304347826086,82.6086956521739,All-Day Rider
1258,2011-02-25,Spring,2011,February,13,No Holiday,Friday,Working Day,Rain,0.54,0.5152,0.6,0.4627,6,77,83,7.228915662650602,92.7710843373494,All-Day Rider
1259,2011-02-25,Spring,2011,February,14,No Holiday,Friday,Working Day,Rain,0.56,0.5303,0.56,0.6119,14,71,85,16.470588235294116,83.52941176470588,All-Day Rider
1260,2011-02-25,Spring,2011,February,15,No Holiday,Friday,Working Day,Few Clouds,0.46,0.4545,0.41,0.806,5,50,55,9.090909090909092,90.9090909090909,All-Day Rider
1261,2011-02-25,Spring,2011,February,16,No Holiday,Friday,Working Day,Few Clouds,0.32,0.2879,0.49,0.4627,11,91,102,10.784313725490197,89.2156862745098,All-Day Rider
1262,2011-02-25,Spring,2011,February,17,No Holiday,Friday,Working Day,Few Clouds,0.32,0.2727,0.49,0.7463,8,181,189,4.232804232804233,95.76719576719577,Commuter
1263,2011-02-25,Spring,2011,February,18,No Holiday,Friday,Working Day,Few Clouds,0.32,0.2879,0.49,0.4925,7,150,157,4.45859872611465,95.54140127388536,Commuter
1264,2011-02-25,Spring,2011,February,19,No Holiday,Friday,Working Day,Few Clouds,0.3,0.2727,0.52,0.4478,4,86,90,4.444444444444445,95.55555555555556,Commuter
1265,2011-02-25,Spring,2011,February,20,No Holiday,Friday,Working Day,Few Clouds,0.3,0.2576,0.49,0.6119,2,60,62,3.225806451612903,96.7741935483871,Evening Rider
1266,2011-02-25,Spring,2011,February,21,No Holiday,Friday,Working Day,Few Clouds,0.28,0.2576,0.48,0.3881,7,56,63,11.11111111111111,88.88888888888889,Evening Rider
1267,2011-02-25,Spring,2011,February,22,No Holiday,Friday,Working Day,Few Clouds,0.26,0.2121,0.48,0.4478,7,43,50,14.000000000000002,86.0,Evening Rider
1268,2011-02-25,Spring,2011,February,23,No Holiday,Friday,Working Day,Few Clouds,0.26,0.2273,0.48,0.3284,2,37,39,5.128205128205128,94.87179487179486,Night Owl
1269,2011-02-26,Spring,2011,February,0,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2273,0.52,0.194,3,25,28,10.714285714285714,89.28571428571429,Night Owl
1270,2011-02-26,Spring,2011,February,1,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2121,0.52,0.2985,2,25,27,7.4074074074074066,92.5925925925926,Night Owl
1271,2011-02-26,Spring,2011,February,2,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.197,0.6,0.3582,3,9,12,25.0,75.0,Night Owl
1272,2011-02-26,Spring,2011,February,3,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2273,0.55,0.1343,1,7,8,12.5,87.5,Night Owl
1273,2011-02-26,Spring,2011,February,4,No Holiday,Saturday,Non-Working Day,Cloudy,0.22,0.2576,0.6,0.0896,1,1,2,50.0,50.0,Night Owl
1274,2011-02-26,Spring,2011,February,5,No Holiday,Saturday,Non-Working Day,Cloudy,0.22,0.2424,0.64,0.1045,1,9,10,10.0,90.0,All-Day Rider
1275,2011-02-26,Spring,2011,February,6,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2727,0.6,0.0,1,6,7,14.285714285714285,85.71428571428571,All-Day Rider
1276,2011-02-26,Spring,2011,February,7,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2576,0.6,0.0896,1,21,22,4.545454545454546,95.45454545454545,Commuter
1277,2011-02-26,Spring,2011,February,8,No Holiday,Saturday,Non-Working Day,Cloudy,0.24,0.2879,0.6,0.0,2,55,57,3.508771929824561,96.49122807017544,Commuter
1278,2011-02-26,Spring,2011,February,9,No Holiday,Saturday,Non-Working Day,Cloudy,0.26,0.2576,0.56,0.1642,9,65,74,12.162162162162163,87.83783783783784,Commuter
1279,2011-02-26,Spring,2011,February,10,No Holiday,Saturday,Non-Working Day,Cloudy,0.3,0.303,0.49,0.1343,14,71,85,16.470588235294116,83.52941176470588,All-Day Rider
1280,2011-02-26,Spring,2011,February,11,No Holiday,Saturday,Non-Working Day,Few Clouds,0.3,0.3333,0.45,0.0,26,100,126,20.634920634920633,79.36507936507937,All-Day Rider
1281,2011-02-26,Spring,2011,February,12,No Holiday,Saturday,Non-Working Day,Cloudy,0.32,0.3182,0.45,0.1642,45,115,160,28.125,71.875,All-Day Rider
1282,2011-02-26,Spring,2011,February,13,No Holiday,Saturday,Non-Working Day,Cloudy,0.34,0.3182,0.42,0.2537,38,136,174,21.839080459770116,78.16091954022988,All-Day Rider
1283,2011-02-26,Spring,2011,February,14,No Holiday,Saturday,Non-Working Day,Cloudy,0.34,0.303,0.36,0.3284,57,154,211,27.014218009478675,72.98578199052133,All-Day Rider
1284,2011-02-26,Spring,2011,February,15,No Holiday,Saturday,Non-Working Day,Cloudy,0.36,0.3333,0.4,0.2836,40,125,165,24.242424242424242,75.75757575757575,All-Day Rider
1285,2011-02-26,Spring,2011,February,16,No Holiday,Saturday,Non-Working Day,Few Clouds,0.36,0.3333,0.46,0.2836,41,130,171,23.976608187134502,76.0233918128655,All-Day Rider
1286,2011-02-26,Spring,2011,February,17,No Holiday,Saturday,Non-Working Day,Few Clouds,0.36,0.3485,0.43,0.2239,53,130,183,28.96174863387978,71.03825136612022,Commuter
1287,2011-02-26,Spring,2011,February,18,No Holiday,Saturday,Non-Working Day,Few Clouds,0.34,0.3333,0.46,0.194,26,111,137,18.97810218978102,81.02189781021897,Commuter
1288,2011-02-26,Spring,2011,February,19,No Holiday,Saturday,Non-Working Day,Few Clouds,0.32,0.303,0.49,0.2537,30,64,94,31.914893617021278,68.08510638297872,Commuter
1289,2011-02-26,Spring,2011,February,20,No Holiday,Saturday,Non-Working Day,Few Clouds,0.3,0.303,0.56,0.1642,8,60,68,11.76470588235294,88.23529411764706,Evening Rider
1290,2011-02-26,Spring,2011,February,21,No Holiday,Saturday,Non-Working Day,Few Clouds,0.28,0.2727,0.65,0.2537,9,59,68,13.23529411764706,86.76470588235294,Evening Rider
1291,2011-02-26,Spring,2011,February,22,No Holiday,Saturday,Non-Working Day,Few Clouds,0.28,0.2727,0.75,0.2239,8,38,46,17.391304347826086,82.6086956521739,Evening Rider
1292,2011-02-26,Spring,2011,February,23,No Holiday,Saturday,Non-Working Day,Few Clouds,0.28,0.2576,0.75,0.2836,5,29,34,14.705882352941178,85.29411764705883,Night Owl
1293,2011-02-27,Spring,2011,February,0,No Holiday,Sunday,Non-Working Day,Few Clouds,0.26,0.2424,0.87,0.2836,8,26,34,23.52941176470588,76.47058823529412,Night Owl
1294,2011-02-27,Spring,2011,February,1,No Holiday,Sunday,Non-Working Day,Few Clouds,0.26,0.2576,0.87,0.194,7,30,37,18.91891891891892,81.08108108108108,Night Owl
1295,2011-02-27,Spring,2011,February,2,No Holiday,Sunday,Non-Working Day,Few Clouds,0.26,0.2727,0.87,0.1343,2,20,22,9.090909090909092,90.9090909090909,Night Owl
1296,2011-02-27,Spring,2011,February,3,No Holiday,Sunday,Non-Working Day,Few Clouds,0.26,0.2879,0.87,0.0896,3,8,11,27.27272727272727,72.72727272727273,Night Owl
1297,2011-02-27,Spring,2011,February,4,No Holiday,Sunday,Non-Working Day,Few Clouds,0.24,0.2424,0.87,0.1343,0,2,2,0.0,100.0,Night Owl
1298,2011-02-27,Spring,2011,February,6,No Holiday,Sunday,Non-Working Day,Few Clouds,0.24,0.2879,0.87,0.0,2,1,3,66.66666666666666,33.33333333333333,All-Day Rider
1299,2011-02-27,Spring,2011,February,7,No Holiday,Sunday,Non-Working Day,Few Clouds,0.24,0.2424,0.87,0.1343,6,8,14,42.857142857142854,57.14285714285714,Commuter
1300,2011-02-27,Spring,2011,February,8,No Holiday,Sunday,Non-Working Day,Few Clouds,0.26,0.303,0.87,0.0,9,26,35,25.71428571428571,74.28571428571429,Commuter
1301,2011-02-27,Spring,2011,February,9,No Holiday,Sunday,Non-Working Day,Few Clouds,0.28,0.303,0.87,0.0896,17,42,59,28.8135593220339,71.1864406779661,Commuter
1302,2011-02-27,Spring,2011,February,10,No Holiday,Sunday,Non-Working Day,Few Clouds,0.3,0.303,0.81,0.1642,24,79,103,23.300970873786408,76.69902912621359,All-Day Rider
1303,2011-02-27,Spring,2011,February,11,No Holiday,Sunday,Non-Working Day,Few Clouds,0.36,0.3485,0.62,0.1343,33,92,125,26.400000000000002,73.6,All-Day Rider
1304,2011-02-27,Spring,2011,February,12,No Holiday,Sunday,Non-Working Day,Few Clouds,0.4,0.4091,0.54,0.0896,61,132,193,31.606217616580313,68.39378238341969,All-Day Rider
1305,2011-02-27,Spring,2011,February,13,No Holiday,Sunday,Non-Working Day,Few Clouds,0.42,0.4242,0.47,0.0,90,169,259,34.74903474903475,65.25096525096525,All-Day Rider
1306,2011-02-27,Spring,2011,February,14,No Holiday,Sunday,Non-Working Day,Few Clouds,0.44,0.4394,0.47,0.0896,105,177,282,37.234042553191486,62.76595744680851,All-Day Rider
1307,2011-02-27,Spring,2011,February,15,No Holiday,Sunday,Non-Working Day,Few Clouds,0.46,0.4545,0.44,0.1343,98,163,261,37.547892720306514,62.45210727969349,All-Day Rider
1308,2011-02-27,Spring,2011,February,16,No Holiday,Sunday,Non-Working Day,Few Clouds,0.48,0.4697,0.44,0.1642,98,170,268,36.56716417910448,63.43283582089553,All-Day Rider
1309,2011-02-27,Spring,2011,February,17,No Holiday,Sunday,Non-Working Day,Few Clouds,0.42,0.4242,0.54,0.194,66,121,187,35.294117647058826,64.70588235294117,Commuter
1310,2011-02-27,Spring,2011,February,18,No Holiday,Sunday,Non-Working Day,Few Clouds,0.4,0.4091,0.54,0.194,24,103,127,18.89763779527559,81.10236220472441,Commuter
1311,2011-02-27,Spring,2011,February,19,No Holiday,Sunday,Non-Working Day,Few Clouds,0.4,0.4091,0.54,0.1343,16,86,102,15.686274509803921,84.31372549019608,Commuter
1312,2011-02-27,Spring,2011,February,20,No Holiday,Sunday,Non-Working Day,Few Clouds,0.4,0.4091,0.54,0.0896,9,72,81,11.11111111111111,88.88888888888889,Evening Rider
1313,2011-02-27,Spring,2011,February,21,No Holiday,Sunday,Non-Working Day,Few Clouds,0.38,0.3939,0.62,0.1642,8,61,69,11.594202898550725,88.40579710144928,Evening Rider
1314,2011-02-27,Spring,2011,February,22,No Holiday,Sunday,Non-Working Day,Cloudy,0.38,0.3939,0.62,0.1045,2,67,69,2.898550724637681,97.10144927536231,Evening Rider
1315,2011-02-27,Spring,2011,February,23,No Holiday,Sunday,Non-Working Day,Cloudy,0.36,0.3485,0.62,0.1642,6,53,59,10.16949152542373,89.83050847457628,Night Owl
1316,2011-02-28,Spring,2011,February,0,No Holiday,Monday,Working Day,Cloudy,0.36,0.3636,0.66,0.1045,5,25,30,16.666666666666664,83.33333333333334,Night Owl
1317,2011-02-28,Spring,2011,February,1,No Holiday,Monday,Working Day,Rain,0.34,0.303,0.87,0.3582,1,7,8,12.5,87.5,Night Owl
1318,2011-02-28,Spring,2011,February,3,No Holiday,Monday,Working Day,Rain,0.32,0.3182,0.93,0.1642,0,1,1,0.0,100.0,Night Owl
1319,2011-02-28,Spring,2011,February,5,No Holiday,Monday,Working Day,Cloudy,0.34,0.3636,0.93,0.0,1,4,5,20.0,80.0,All-Day Rider
1320,2011-02-28,Spring,2011,February,6,No Holiday,Monday,Working Day,Cloudy,0.34,0.3485,0.96,0.1045,1,27,28,3.571428571428571,96.42857142857143,All-Day Rider
1321,2011-02-28,Spring,2011,February,7,No Holiday,Monday,Working Day,Cloudy,0.36,0.3636,0.93,0.1045,2,90,92,2.1739130434782608,97.82608695652173,Commuter
1322,2011-02-28,Spring,2011,February,8,No Holiday,Monday,Working Day,Cloudy,0.34,0.303,0.93,0.2985,13,242,255,5.098039215686274,94.90196078431372,Commuter
1323,2011-02-28,Spring,2011,February,9,No Holiday,Monday,Working Day,Few Clouds,0.42,0.4242,0.82,0.2836,15,127,142,10.56338028169014,89.43661971830986,Commuter
1324,2011-02-28,Spring,2011,February,10,No Holiday,Monday,Working Day,Cloudy,0.52,0.5,0.72,0.4925,13,79,92,14.130434782608695,85.86956521739131,All-Day Rider
1325,2011-02-28,Spring,2011,February,11,No Holiday,Monday,Working Day,Cloudy,0.56,0.5303,0.64,0.2985,13,74,87,14.942528735632186,85.0574712643678,All-Day Rider
1326,2011-02-28,Spring,2011,February,12,No Holiday,Monday,Working Day,Cloudy,0.56,0.5303,0.64,0.2985,0,36,36,0.0,100.0,All-Day Rider
1327,2011-02-28,Spring,2011,February,13,No Holiday,Monday,Working Day,Rain,0.46,0.4545,0.94,0.2239,1,31,32,3.125,96.875,All-Day Rider
1328,2011-02-28,Spring,2011,February,14,No Holiday,Monday,Working Day,Rain,0.42,0.4242,1.0,0.2985,1,24,25,4.0,96.0,All-Day Rider
1329,2011-02-28,Spring,2011,February,15,No Holiday,Monday,Working Day,Rain,0.42,0.4242,1.0,0.2985,0,35,35,0.0,100.0,All-Day Rider
1330,2011-02-28,Spring,2011,February,16,No Holiday,Monday,Working Day,Rain,0.42,0.4242,1.0,0.1343,2,40,42,4.761904761904762,95.23809523809523,All-Day Rider
1331,2011-02-28,Spring,2011,February,17,No Holiday,Monday,Working Day,Rain,0.4,0.4091,1.0,0.2985,2,77,79,2.5316455696202533,97.46835443037975,Commuter
1332,2011-02-28,Spring,2011,February,18,No Holiday,Monday,Working Day,Rain,0.46,0.4545,0.94,0.194,4,127,131,3.0534351145038165,96.94656488549617,Commuter
1333,2011-02-28,Spring,2011,February,19,No Holiday,Monday,Working Day,Rain,0.44,0.4394,0.88,0.6119,1,79,80,1.25,98.75,Commuter
1334,2011-02-28,Spring,2011,February,20,No Holiday,Monday,Working Day,Rain,0.44,0.4394,0.88,0.6119,0,45,45,0.0,100.0,Evening Rider
1335,2011-02-28,Spring,2011,February,21,No Holiday,Monday,Working Day,Cloudy,0.38,0.3939,0.87,0.3881,2,78,80,2.5,97.5,Evening Rider
1336,2011-02-28,Spring,2011,February,22,No Holiday,Monday,Working Day,Rain,0.34,0.303,0.93,0.4179,4,72,76,5.263157894736842,94.73684210526315,Evening Rider
1337,2011-02-28,Spring,2011,February,23,No Holiday,Monday,Working Day,Cloudy,0.32,0.2879,0.81,0.3881,0,45,45,0.0,100.0,Night Owl
1338,2011-03-01,Spring,2011,March,0,No Holiday,Tuesday,Working Day,Few Clouds,0.3,0.2727,0.7,0.4627,0,7,7,0.0,100.0,Night Owl
1339,2011-03-01,Spring,2011,March,1,No Holiday,Tuesday,Working Day,Few Clouds,0.26,0.2273,0.7,0.3582,0,3,3,0.0,100.0,Night Owl
1340,2011-03-01,Spring,2011,March,2,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2121,0.65,0.3881,0,4,4,0.0,100.0,Night Owl
1341,2011-03-01,Spring,2011,March,3,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.2121,0.69,0.2836,0,2,2,0.0,100.0,Night Owl
1342,2011-03-01,Spring,2011,March,4,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.2121,0.69,0.2537,0,1,1,0.0,100.0,Night Owl
1343,2011-03-01,Spring,2011,March,5,No Holiday,Tuesday,Working Day,Few Clouds,0.2,0.1818,0.64,0.2836,1,1,2,50.0,50.0,All-Day Rider
1344,2011-03-01,Spring,2011,March,6,No Holiday,Tuesday,Working Day,Few Clouds,0.2,0.1818,0.59,0.2985,0,46,46,0.0,100.0,All-Day Rider
1345,2011-03-01,Spring,2011,March,7,No Holiday,Tuesday,Working Day,Few Clouds,0.2,0.1818,0.59,0.3284,2,105,107,1.8691588785046727,98.13084112149532,Commuter
1346,2011-03-01,Spring,2011,March,8,No Holiday,Tuesday,Working Day,Few Clouds,0.2,0.1818,0.59,0.3881,10,204,214,4.672897196261682,95.32710280373831,Commuter
1347,2011-03-01,Spring,2011,March,9,No Holiday,Tuesday,Working Day,Few Clouds,0.22,0.197,0.55,0.4179,8,116,124,6.451612903225806,93.54838709677419,Commuter
1348,2011-03-01,Spring,2011,March,10,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2121,0.52,0.2836,13,55,68,19.11764705882353,80.88235294117648,All-Day Rider
1349,2011-03-01,Spring,2011,March,11,No Holiday,Tuesday,Working Day,Few Clouds,0.28,0.2727,0.45,0.2537,8,48,56,14.285714285714285,85.71428571428571,All-Day Rider
1350,2011-03-01,Spring,2011,March,12,No Holiday,Tuesday,Working Day,Few Clouds,0.3,0.303,0.39,0.1343,6,80,86,6.976744186046512,93.02325581395348,All-Day Rider
1351,2011-03-01,Spring,2011,March,13,No Holiday,Tuesday,Working Day,Few Clouds,0.32,0.3485,0.39,0.0,13,65,78,16.666666666666664,83.33333333333334,All-Day Rider
1352,2011-03-01,Spring,2011,March,14,No Holiday,Tuesday,Working Day,Few Clouds,0.32,0.3333,0.36,0.1343,18,61,79,22.78481012658228,77.21518987341773,All-Day Rider
1353,2011-03-01,Spring,2011,March,15,No Holiday,Tuesday,Working Day,Few Clouds,0.34,0.3636,0.34,0.0,7,57,64,10.9375,89.0625,All-Day Rider
1354,2011-03-01,Spring,2011,March,16,No Holiday,Tuesday,Working Day,Few Clouds,0.34,0.3485,0.34,0.0896,10,92,102,9.803921568627452,90.19607843137256,All-Day Rider
1355,2011-03-01,Spring,2011,March,17,No Holiday,Tuesday,Working Day,Few Clouds,0.34,0.3485,0.34,0.0896,12,230,242,4.958677685950414,95.0413223140496,Commuter
1356,2011-03-01,Spring,2011,March,18,No Holiday,Tuesday,Working Day,Few Clouds,0.32,0.3182,0.39,0.194,10,214,224,4.464285714285714,95.53571428571429,Commuter
1357,2011-03-01,Spring,2011,March,19,No Holiday,Tuesday,Working Day,Few Clouds,0.3,0.303,0.49,0.1343,4,115,119,3.361344537815126,96.63865546218487,Commuter
1358,2011-03-01,Spring,2011,March,20,No Holiday,Tuesday,Working Day,Few Clouds,0.3,0.3182,0.61,0.0896,2,86,88,2.272727272727273,97.72727272727273,Evening Rider
1359,2011-03-01,Spring,2011,March,21,No Holiday,Tuesday,Working Day,Few Clouds,0.26,0.303,0.56,0.0,8,55,63,12.698412698412698,87.3015873015873,Evening Rider
1360,2011-03-01,Spring,2011,March,22,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2727,0.62,0.1045,3,44,47,6.382978723404255,93.61702127659575,Evening Rider
1361,2011-03-01,Spring,2011,March,23,No Holiday,Tuesday,Working Day,Few Clouds,0.24,0.2273,0.65,0.2239,2,23,25,8.0,92.0,Night Owl
1362,2011-03-02,Spring,2011,March,0,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2273,0.69,0.1642,3,5,8,37.5,62.5,Night Owl
1363,2011-03-02,Spring,2011,March,1,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2273,0.69,0.194,0,4,4,0.0,100.0,Night Owl
1364,2011-03-02,Spring,2011,March,2,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2273,0.69,0.194,0,2,2,0.0,100.0,Night Owl
1365,2011-03-02,Spring,2011,March,3,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2121,0.69,0.2836,3,1,4,75.0,25.0,Night Owl
1366,2011-03-02,Spring,2011,March,4,No Holiday,Wednesday,Working Day,Few Clouds,0.2,0.2121,0.75,0.1343,1,0,1,100.0,0.0,Night Owl
1367,2011-03-02,Spring,2011,March,5,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2121,0.69,0.2239,0,5,5,0.0,100.0,All-Day Rider
1368,2011-03-02,Spring,2011,March,6,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2121,0.55,0.2537,1,39,40,2.5,97.5,All-Day Rider
1369,2011-03-02,Spring,2011,March,7,No Holiday,Wednesday,Working Day,Few Clouds,0.22,0.2121,0.64,0.2537,2,108,110,1.8181818181818181,98.18181818181819,Commuter
1370,2011-03-02,Spring,2011,March,8,No Holiday,Wednesday,Working Day,Few Clouds,0.24,0.2121,0.65,0.2836,13,243,256,5.078125,94.921875,Commuter
1371,2011-03-02,Spring,2011,March,9,No Holiday,Wednesday,Working Day,Few Clouds,0.28,0.2576,0.56,0.2985,7,141,148,4.72972972972973,95.27027027027027,Commuter
1372,2011-03-02,Spring,2011,March,10,No Holiday,Wednesday,Working Day,Few Clouds,0.32,0.303,0.49,0.2836,11,65,76,14.473684210526317,85.52631578947368,All-Day Rider
1373,2011-03-02,Spring,2011,March,11,No Holiday,Wednesday,Working Day,Few Clouds,0.34,0.303,0.53,0.3284,8,65,73,10.95890410958904,89.04109589041096,All-Day Rider
1374,2011-03-02,Spring,2011,March,12,No Holiday,Wednesday,Working Day,Few Clouds,0.4,0.4091,0.43,0.194,20,62,82,24.390243902439025,75.60975609756098,All-Day Rider
1375,2011-03-02,Spring,2011,March,13,No Holiday,Wednesday,Working Day,Few Clouds,0.5,0.4848,0.25,0.0,35,90,125,28.000000000000004,72.0,All-Day Rider
1376,2011-03-02,Spring,2011,March,14,No Holiday,Wednesday,Working Day,Few Clouds,0.52,0.5,0.23,0.2985,21,75,96,21.875,78.125,All-Day Rider
1377,2011-03-02,Spring,2011,March,15,No Holiday,Wednesday,Working Day,Few Clouds,0.54,0.5152,0.19,0.4179,19,91,110,17.272727272727273,82.72727272727273,All-Day Rider
1378,2011-03-02,Spring,2011,March,16,No Holiday,Wednesday,Working Day,Few Clouds,0.54,0.5152,0.19,0.3284,27,112,139,19.424460431654676,80.57553956834532,All-Day Rider
1379,2011-03-02,Spring,2011,March,17,No Holiday,Wednesday,Working Day,Few Clouds,0.5,0.4848,0.23,0.2836,30,238,268,11.194029850746269,88.80597014925374,Commuter
1380,2011-03-02,Spring,2011,March,18,No Holiday,Wednesday,Working Day,Few Clouds,0.46,0.4545,0.23,0.4925,8,193,201,3.9800995024875623,96.01990049751244,Commuter
1381,2011-03-02,Spring,2011,March,19,No Holiday,Wednesday,Working Day,Few Clouds,0.4,0.4091,0.28,0.5224,6,144,150,4.0,96.0,Commuter
